ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
327,327,Sunita Patil,64,5,2,2,2
328,328,Lakshmi Gowda,58,6,5,3,2
329,329,Priya Gowda,41,1,1,9,1
330,330,Venkatesh Gowda,26,2,1,8,2
331,331,Kavitha Hegde,57,2,2,8,1
332,332,Sunita Shetty,47,7,2,2,1
333,333,Venkatesh Kulkarni,37,4,2,1,1
334,334,Lakshmi Nayak,63,2,4,7,2
335,335,Ramesh Shetty,69,3,1,9,1
336,336,Suresh Rao,65,1,2,2,1
337,337,Suresh Gowda,49,4,1,9,1
338,338,Kavitha Bhat,35,4,3,4,2
339,339,Ramesh Kulkarni,55,10,3,5,1
340,340,Lakshmi Hegde,50,5,1,6,1
341,341,Manjunath Rao,33,2,3,6,2
342,342,Kavitha Patil,68,2,5,3,2
343,343,Lakshmi Rao,41,10,1,2,2
344,344,Vijay Hegde,26,10,3,1,2
345,345,Kavitha Kumar,27,1,1,8,2
346,346,Manjunath Patil,52,9,2,10,2
347,347,Vijay Reddy,61,6,2,4,1
348,348,Manjunath Patil,23,3,4,7,1
349,349,Sunita Kulkarni,56,7,1,5,1
350,350,Venkatesh Deshmukh,22,10,2,5,1
351,351,Anitha Rao,59,3,5,2,2
352,352,Priya Kulkarni,37,10,3,5,2
353,353,Sunita Kumar,42,8,3,4,2
354,354,Kavitha Bhat,45,5,5,1,2
355,355,Lakshmi Deshmukh,45,5,1,4,2
356,356,Vijay Bhat,64,9,5,10,2
357,357,Vijay Hegde,31,2,1,2,2
358,358,Vijay Gowda,41,9,1,6,1
359,359,Vijay Nayak,68,4,1,3,2
360,360,Priya Nayak,53,3,2,6,1
361,361,Ganesh Gowda,21,7,1,3,1
362,362,Mahesh Deshmukh,26,2,5,2,1
363,363,Ramesh Shetty,49,8,4,4,2
364,364,Venkatesh Gowda,50,3,3,4,2
365,365,Mahesh Kumar,66,10,3,7,1
366,366,Manjunath Pujari,31,9,2,1,2
367,367,Anitha Bhat,36,3,3,8,2
368,368,Sunita Patil,57,6,2,10,1
369,369,Anitha Reddy,59,4,3,4,1
370,370,Lakshmi Bhat,30,8,3,10,2
371,371,Priya Bhat,33,4,1,2,1
372,372,Manjunath Gowda,45,4,3,7,1
373,373,Kavitha Rao,56,1,2,10,2
374,374,Priya Kumar,46,7,5,7,1
375,375,Manjunath Reddy,34,1,4,6,2
376,376,Manjunath Pujari,64,2,5,4,1
377,377,Lakshmi Gowda,50,8,1,6,1
378,378,Manjunath Rao,34,7,4,1,1
379,379,Ramesh Nayak,39,6,1,8,1
380,380,Priya Shetty,60,1,2,2,2
381,381,Priya Kulkarni,23,9,2,10,2
382,382,Kavitha Reddy,45,1,4,10,2
383,383,Anitha Hegde,62,8,1,7,1
384,384,Suresh Deshmukh,24,10,5,2,1
385,385,Vijay Rao,22,3,5,9,1
386,386,Suresh Pujari,50,7,5,7,1
387,387,Suresh Reddy,30,10,4,9,1
388,388,Manjunath Nayak,68,5,2,6,1
389,389,Ganesh Bhat,38,9,2,4,2
390,390,Mahesh Kumar,52,6,5,5,2
391,391,Ramesh Pujari,56,6,2,10,1
392,392,Kavitha Deshmukh,31,7,5,8,1
393,393,Ramesh Patil,51,5,5,7,1
394,394,Kavitha Reddy,45,5,2,6,1
395,395,Anitha Rao,56,7,1,5,2
396,396,Ramesh Bhat,58,3,4,9,2
397,397,Suresh Kulkarni,55,3,2,7,1
398,398,Venkatesh Hegde,36,6,2,1,2
399,399,Mahesh Reddy,46,7,4,4,1
400,400,Manjunath Nayak,44,2,1,9,1
401,401,Priya Kumar,68,3,4,4,1
402,402,Ramesh Patil,31,2,3,1,2
403,403,Priya Bhat,69,8,2,7,1
404,404,Venkatesh Pujari,56,3,5,10,1
405,405,Suresh Shetty,32,1,4,6,1
406,406,Anitha Hegde,35,8,3,7,1
407,407,Venkatesh Kulkarni,28,2,5,1,2
408,408,Anitha Pujari,52,1,2,4,1
409,409,Anitha Reddy,35,6,5,7,2
410,410,Anitha Reddy,29,6,4,3,2
411,411,Ganesh Deshmukh,70,2,3,6,1
412,412,Manjunath Reddy,59,8,1,6,1
413,413,Lakshmi Nayak,24,4,1,10,2
414,414,Lakshmi Deshmukh,62,10,1,10,1
415,415,Kavitha Deshmukh,43,9,1,9,1
416,416,Anitha Gowda,68,2,4,1,1
417,417,Manjunath Reddy,66,2,2,6,2
418,418,Venkatesh Deshmukh,60,6,1,5,1
419,419,Anitha Gowda,40,3,5,7,1
420,420,Sunita Rao,35,1,3,1,1
421,421,Ramesh Nayak,65,9,2,3,1
422,422,Ganesh Bhat,47,2,1,9,2
423,423,Suresh Kulkarni,22,9,5,2,2
424,424,Anitha Gowda,22,3,5,2,2
425,425,Lakshmi Kulkarni,25,5,5,6,2
426,426,Vijay Reddy,47,10,5,9,1
427,427,Priya Kumar,39,5,2,2,1
428,428,Suresh Kumar,47,7,3,5,1
429,429,Kavitha Kumar,42,10,4,9,2
430,430,Mahesh Nayak,26,5,4,5,1
431,431,Sunita Nayak,37,3,2,6,1
432,432,Anitha Gowda,24,5,1,10,2
433,433,Venkatesh Gowda,54,1,4,2,1
434,434,Vijay Kulkarni,65,7,4,3,1
435,435,Lakshmi Rao,29,9,1,4,1
436,436,Venkatesh Patil,24,8,4,6,2
437,437,Anitha Bhat,53,9,2,4,2
438,438,Lakshmi Bhat,28,2,4,3,2
439,439,Ganesh Patil,65,5,1,6,2
440,440,Anitha Kumar,31,5,2,6,1
441,441,Anitha Kulkarni,32,2,2,9,2
442,442,Priya Gowda,48,7,5,10,2
443,443,Sunita Bhat,26,3,1,10,2
444,444,Suresh Gowda,68,1,3,8,1
445,445,Venkatesh Hegde,37,10,4,7,2
446,446,Venkatesh Gowda,61,6,4,1,2
447,447,Ramesh Bhat,63,9,2,4,1
448,448,Ramesh Kumar,34,4,1,8,2
449,449,Venkatesh Shetty,46,10,4,4,1
450,450,Kavitha Reddy,30,1,1,2,2
451,451,Sunita Reddy,70,3,4,4,2
452,452,Vijay Pujari,46,1,1,10,1
453,453,Vijay Reddy,52,8,5,3,2
454,454,Kavitha Rao,57,7,3,7,1
455,455,Suresh Kulkarni,60,6,1,8,1
456,456,Vijay Hegde,33,8,3,10,1
457,457,Kavitha Reddy,27,7,5,9,1
458,458,Manjunath Reddy,65,9,4,5,1
459,459,Mahesh Rao,70,6,1,1,2
460,460,Venkatesh Patil,30,4,4,4,1
461,461,Priya Reddy,61,2,2,3,1
462,462,Lakshmi Gowda,46,6,5,5,1
463,463,Ramesh Hegde,29,2,4,10,1
464,464,Sunita Kulkarni,66,1,4,2,1
465,465,Mahesh Kumar,70,7,1,3,1
466,466,Suresh Deshmukh,32,2,3,3,2
467,467,Lakshmi Bhat,34,6,2,3,1
468,468,Lakshmi Reddy,36,7,1,2,1
469,469,Suresh Kumar,70,10,1,6,1
470,470,Ramesh Rao,50,8,1,3,2
471,471,Kavitha Nayak,30,4,1,5,2
472,472,Priya Deshmukh,22,8,1,9,2
473,473,Anitha Rao,39,4,1,10,1
474,474,Lakshmi Pujari,52,6,3,6,2
475,475,Lakshmi Kulkarni,66,3,4,8,1
476,476,Anitha Patil,38,7,3,8,1
477,477,Mahesh Kulkarni,48,3,3,8,2
478,478,Mahesh Bhat,38,4,3,8,2
479,479,Venkatesh Patil,50,4,3,3,1
480,480,Lakshmi Nayak,23,10,3,7,1
481,481,Lakshmi Rao,30,4,3,9,2
482,482,Sunita Kumar,64,8,3,10,1
483,483,Suresh Bhat,45,1,4,1,2
484,484,Kavitha Deshmukh,51,4,3,4,2
485,485,Kavitha Deshmukh,42,1,1,3,1
486,486,Sunita Deshmukh,63,10,1,4,1
487,487,Sunita Hegde,45,10,4,10,1
488,488,Mahesh Gowda,42,7,2,6,1
489,489,Venkatesh Deshmukh,51,10,4,6,1
490,490,Kavitha Deshmukh,63,10,2,2,1
491,491,Mahesh Hegde,70,4,1,9,2
492,492,Mahesh Bhat,66,4,3,2,1
493,493,Sunita Patil,59,1,4,9,1
494,494,Mahesh Nayak,35,6,5,7,2
495,495,Priya Shetty,33,10,4,5,1
496,496,Lakshmi Rao,56,2,4,1,2
497,497,Vijay Reddy,59,1,5,7,2
498,498,Ganesh Pujari,31,1,2,10,2
499,499,Mahesh Kulkarni,67,9,3,4,1
500,500,Lakshmi Patil,67,5,2,7,2
501,501,Vijay Bhat,42,3,1,1,1
502,502,Priya Deshmukh,49,2,1,9,2
503,503,Venkatesh Nayak,55,6,1,8,2
504,504,Ganesh Kumar,23,10,2,6,1
505,505,Sunita Patil,66,9,5,3,1
506,506,Anitha Kulkarni,48,6,1,1,1
507,507,Mahesh Reddy,50,5,5,1,1
508,508,Ramesh Shetty,31,5,5,6,2
509,509,Ganesh Hegde,23,3,1,8,2
510,510,Priya Hegde,55,7,3,8,2
511,511,Vijay Rao,54,8,5,6,1
512,512,Venkatesh Deshmukh,43,6,5,8,1
513,513,Sunita Bhat,23,6,2,10,1
514,514,Lakshmi Kumar,40,1,2,10,2
515,515,Suresh Shetty,69,7,3,3,2
516,516,Suresh Kulkarni,25,1,4,10,1
517,517,Anitha Kulkarni,26,7,3,8,2
518,518,Vijay Hegde,62,9,4,10,1
519,519,Priya Patil,21,8,5,9,1
520,520,Vijay Rao,28,1,1,3,1
521,521,Kavitha Gowda,40,9,4,6,2
522,522,Manjunath Shetty,66,4,4,3,2
523,523,Ganesh Pujari,32,8,1,3,1
524,524,Priya Bhat,28,7,3,5,2
525,525,Sunita Reddy,54,7,3,6,1
526,526,Kavitha Hegde,36,1,5,8,1
527,527,Manjunath Patil,54,9,1,6,1
528,528,Vijay Rao,58,7,3,1,1
529,529,Venkatesh Kulkarni,38,4,1,6,2
530,530,Manjunath Kulkarni,60,8,1,10,2
531,531,Manjunath Gowda,29,8,2,7,1
532,532,Mahesh Deshmukh,63,4,1,5,1
533,533,Anitha Gowda,32,9,1,5,2
534,534,Mahesh Shetty,62,2,4,7,2
535,535,Venkatesh Patil,70,5,5,7,1
536,536,Suresh Bhat,57,4,2,8,1
537,537,Sunita Bhat,45,4,5,9,2
538,538,Manjunath Nayak,44,7,5,7,2
539,539,Kavitha Gowda,30,1,1,7,1
540,540,Kavitha Reddy,27,7,4,1,2
541,541,Suresh Pujari,68,6,2,10,1
542,542,Vijay Reddy,36,3,3,1,1
543,543,Sunita Bhat,54,2,5,1,1
544,544,Ganesh Kulkarni,59,10,3,5,2
545,545,Mahesh Patil,29,9,3,1,1
546,546,Manjunath Hegde,38,1,4,2,1
547,547,Suresh Pujari,66,9,4,4,2
548,548,Priya Hegde,48,3,4,4,1
549,549,Mahesh Reddy,47,5,4,4,1
550,550,Anitha Reddy,40,6,1,9,2
551,551,Mahesh Patil,31,4,5,8,1
552,552,Ramesh Gowda,33,5,1,5,1
553,553,Suresh Bhat,40,10,2,4,1
554,554,Kavitha Deshmukh,36,1,5,5,1
555,555,Vijay Gowda,42,6,3,7,2
556,556,Priya Deshmukh,61,5,4,1,2
557,557,Ganesh Rao,32,9,5,6,1
558,558,Priya Shetty,40,10,1,3,2
559,559,Priya Kulkarni,39,9,5,8,2
560,560,Manjunath Rao,59,5,3,5,1
561,561,Anitha Pujari,67,6,2,10,2
562,562,Ganesh Rao,46,3,5,4,1
563,563,Kavitha Kulkarni,24,2,1,5,2
564,564,Priya Hegde,49,2,4,10,2
565,565,Kavitha Shetty,59,10,3,8,1
566,566,Mahesh Kumar,64,5,3,7,2
567,567,Sunita Kumar,47,6,2,7,2
568,568,Priya Pujari,69,8,2,9,2
569,569,Mahesh Kumar,50,10,1,3,1
570,570,Vijay Gowda,25,2,3,8,2
571,571,Sunita Patil,59,9,4,8,1
572,572,Ganesh Rao,33,6,4,8,1
573,573,Anitha Pujari,47,7,5,7,2
574,574,Venkatesh Pujari,44,5,5,7,1
575,575,Priya Hegde,70,6,2,9,2
576,576,Ganesh Bhat,53,7,1,7,1
577,577,Manjunath Hegde,69,4,4,3,1
578,578,Venkatesh Nayak,67,10,3,1,2
579,579,Suresh Patil,62,10,1,4,1
580,580,Ramesh Rao,39,4,5,1,1
581,581,Suresh Deshmukh,43,4,2,7,1
582,582,Mahesh Patil,70,10,4,4,2
583,583,Lakshmi Gowda,55,8,4,8,1
584,584,Ramesh Reddy,43,8,2,5,1
