VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
53,42,Lakshmi Gowda,55,1,0
54,43,Priya Kumar,21,1,0
55,44,Priya Kulkarni,27,1,0
56,45,Ramesh Hegde,63,1,0
57,46,Anitha Bhat,47,1,0
58,47,Venkatesh Deshmukh,19,1,1
59,48,Priya Bhat,59,1,0
60,49,Mahesh Kumar,29,1,1
61,49,Venkatesh Nayak,47,1,1
62,50,Ramesh Kulkarni,45,2,1
63,51,Lakshmi Nayak,32,1,0
64,52,Anitha Gowda,34,1,0
65,53,Kavitha Rao,21,1,1
66,53,Ganesh Deshmukh,44,1,1
67,54,Kavitha Hegde,38,1,0
68,54,Priya Kumar,57,2,0
69,55,Ganesh Kulkarni,20,1,1
70,55,Vijay Hegde,25,2,0
71,56,Priya Nayak,61,1,0
72,57,Lakshmi Patil,19,2,1
73,58,Manjunath Patil,33,1,0
74,59,Suresh Deshmukh,32,2,0
75,60,Manjunath Patil,18,2,0
76,60,Venkatesh Pujari,50,2,0
77,61,Manjunath Pujari,48,1,0
78,62,Lakshmi Nayak,26,1,0
79,63,Ramesh Patil,61,1,0
80,63,Venkatesh Gowda,38,1,0
81,64,Kavitha Patil,43,2,0
82,64,Lakshmi Rao,27,1,0
83,65,Kavitha Deshmukh,18,2,0
84,66,Priya Rao,18,2,0
85,67,Priya Hegde,39,1,1
86,68,Vijay Reddy,45,2,0
87,68,Venkatesh Kumar,32,2,0
88,69,Anitha Patil,41,2,0
89,69,Vijay Pujari,37,2,0
90,70,Ramesh Pujari,63,1,0
91,71,Ramesh Rao,40,2,1
92,72,Kavitha Nayak,65,2,1
93,73,Lakshmi Reddy,55,1,0
94,74,Vijay Pujari,33,1,0
95,75,Venkatesh Hegde,48,2,0
96,76,Vijay Patil,61,1,1
97,77,Sunita Nayak,43,1,0
98,78,Priya Hegde,20,2,0
99,79,Manjunath Shetty,64,1,0
100,80,Sunita Nayak,26,2,0
101,81,Ramesh Kulkarni,55,2,0
102,82,Kavitha Nayak,35,1,0
103,83,Vijay Shetty,64,2,0
104,84,Ganesh Nayak,31,2,0
105,85,Suresh Kumar,58,1,1
106,85,Priya Shetty,48,1,1
107,86,Lakshmi Patil,28,1,0
108,87,Mahesh Pujari,19,2,0
109,88,Ramesh Patil,46,2,0
110,89,Ramesh Nayak,39,2,1
111,90,Venkatesh Gowda,52,1,0
112,90,Manjunath Reddy,64,1,0
113,91,Anitha Bhat,34,2,0
114,92,Sunita Kulkarni,51,2,0
115,93,Kavitha Nayak,20,1,0
116,93,Manjunath Patil,30,2,0
117,94,Lakshmi Nayak,52,1,0
118,94,Anitha Patil,52,2,0
119,95,Lakshmi Pujari,38,2,0
120,96,Manjunath Patil,52,1,0
121,97,Anitha Pujari,45,1,1
122,98,Kavitha Pujari,19,1,0
123,99,Kavitha Nayak,41,1,0
124,100,Venkatesh Bhat,30,2,0
125,101,Manjunath Nayak,32,2,1
126,102,Lakshmi Pujari,30,1,0
127,103,Lakshmi Patil,47,2,0
128,104,Mahesh Nayak,42,1,0
129,105,Sunita Shetty,61,1,0
130,106,Anitha Shetty,36,1,0
131,106,Ramesh Reddy,30,1,0
132,107,Venkatesh Pujari,65,2,0
133,108,Venkatesh Hegde,34,1,0
134,108,Ramesh Reddy,45,2,0
135,109,Priya Bhat,40,1,0
136,109,Suresh Gowda,24,2,0
137,110,Ganesh Gowda,19,1,0
138,110,Venkatesh Nayak,21,2,1
139,111,Anitha Nayak,62,2,1
140,112,Suresh Kumar,56,2,1
141,113,Suresh Reddy,45,1,0
142,114,Priya Kumar,44,2,0
143,115,Priya Gowda,30,1,0
144,116,Ganesh Bhat,61,1,0
145,117,Mahesh Hegde,41,1,0
146,117,Kavitha Nayak,32,1,0
147,118,Manjunath Kumar,31,1,0
148,119,Venkatesh Nayak,47,2,0
149,120,Venkatesh Patil,23,2,0
150,121,Kavitha Deshmukh,43,2,0
151,122,Mahesh Bhat,36,1,0
152,123,Venkatesh Kulkarni,52,1,0
153,124,Lakshmi Shetty,44,1,0
154,124,Ganesh Reddy,42,2,0
155,125,Kavitha Hegde,23,1,1
156,126,Venkatesh Pujari,42,2,0
157,127,Kavitha Shetty,19,2,0
158,128,Suresh Bhat,26,2,0
159,129,Priya Pujari,52,2,0
160,130,Sunita Deshmukh,48,1,0
161,131,Kavitha Pujari,21,2,0
162,132,Vijay Kumar,23,2,0
163,133,Sunita Nayak,53,1,1
164,134,Mahesh Shetty,44,2,0
165,135,Ganesh Deshmukh,39,2,0
166,135,Anitha Nayak,28,2,0
167,136,Vijay Patil,35,2,0
168,136,Kavitha Kulkarni,36,2,0
169,137,Mahesh Shetty,60,2,0
170,138,Anitha Kulkarni,63,2,0
171,139,Anitha Patil,40,2,0
172,140,Lakshmi Patil,42,1,0
173,141,Suresh Gowda,32,2,1
174,141,Suresh Rao,39,1,0
175,142,Venkatesh Pujari,33,2,1
176,143,Vijay Bhat,47,2,1
177,144,Ramesh Gowda,36,2,0
178,145,Kavitha Gowda,19,2,1
179,146,Manjunath Kulkarni,33,1,0
180,147,Manjunath Pujari,43,2,0
181,148,Kavitha Gowda,53,2,0
182,149,Mahesh Rao,55,2,0
183,150,Vijay Gowda,63,2,0
184,151,Anitha Pujari,50,1,0
185,152,Kavitha Gowda,59,2,0
186,153,Mahesh Shetty,25,2,1
187,154,Priya Patil,37,2,1
188,155,Manjunath Deshmukh,30,1,0
189,156,Suresh Bhat,20,1,0
190,156,Manjunath Hegde,65,2,1
191,157,Priya Reddy,33,1,0
192,158,Priya Pujari,45,2,0
193,159,Suresh Patil,23,2,0
194,159,Manjunath Bhat,20,2,0
195,160,Ganesh Deshmukh,54,2,0
196,161,Venkatesh Rao,60,2,0
197,162,Anitha Deshmukh,19,1,1
198,163,Suresh Rao,26,1,1
199,163,Sunita Gowda,27,2,0
200,164,Anitha Rao,41,2,0
201,165,Ganesh Patil,44,2,1
202,165,Priya Reddy,55,2,0
203,166,Sunita Deshmukh,62,1,0
204,167,Ramesh Bhat,58,2,0
205,167,Ramesh Rao,61,1,0
206,168,Anitha Pujari,43,2,0
207,168,Priya Kumar,62,2,0
208,169,Lakshmi Shetty,52,2,0
209,170,Mahesh Pujari,47,2,0
210,170,Priya Rao,26,2,0
211,171,Suresh Nayak,54,1,0
212,172,Ganesh Deshmukh,63,1,1
213,173,Anitha Gowda,29,1,0
214,173,Suresh Deshmukh,51,1,0
215,174,Suresh Rao,18,1,0
216,174,Ramesh Deshmukh,44,2,0
217,175,Suresh Patil,34,1,0
218,175,Ganesh Nayak,42,1,0
219,176,Manjunath Bhat,41,1,1
220,177,Mahesh Patil,32,2,0
221,178,Venkatesh Reddy,40,2,0
222,179,Venkatesh Nayak,20,1,0
223,180,Anitha Patil,39,2,0
224,181,Mahesh Kulkarni,53,2,0
225,181,Kavitha Rao,51,2,1
226,182,Priya Shetty,38,1,0
227,182,Sunita Pujari,62,1,0
228,183,Anitha Nayak,19,2,1
229,183,Ganesh Gowda,38,1,0
230,184,Venkatesh Hegde,56,1,1
231,185,Ganesh Kumar,49,1,0
232,185,Venkatesh Hegde,51,2,0
233,186,Sunita Patil,30,1,0
234,187,Ganesh Bhat,56,2,1
235,187,Suresh Nayak,27,2,1
236,188,Manjunath Pujari,19,1,1
237,188,Lakshmi Kumar,32,1,1
238,189,Anitha Patil,63,1,0
239,190,Venkatesh Bhat,63,2,0
240,191,Anitha Deshmukh,58,2,0
241,191,Ramesh Kulkarni,64,1,0
242,192,Venkatesh Reddy,29,1,0
243,193,Venkatesh Hegde,34,2,1
244,194,Kavitha Pujari,26,2,1
245,195,Venkatesh Rao,29,2,0
246,196,Sunita Hegde,55,2,0
247,197,Sunita Shetty,22,2,0
248,198,Venkatesh Hegde,42,2,0
249,199,Suresh Patil,47,2,1
250,199,Priya Bhat,28,1,0
251,200,Vijay Hegde,55,2,0
252,200,Ramesh Patil,30,2,0
253,201,Lakshmi Gowda,34,1,1
254,202,Ganesh Deshmukh,64,2,1
255,203,Kavitha Bhat,51,1,0
256,204,Manjunath Bhat,48,1,0
257,204,Sunita Gowda,42,2,0
258,205,Manjunath Nayak,30,1,1
259,205,Priya Nayak,46,2,0
260,206,Ganesh Kumar,60,2,0
261,207,Kavitha Rao,52,2,0
262,208,Vijay Reddy,28,2,0
263,208,Suresh Patil,46,2,0
264,209,Anitha Gowda,37,1,1
265,210,Ganesh Gowda,24,1,0
266,210,Vijay Deshmukh,19,1,0
267,211,Sunita Deshmukh,39,2,1
268,212,Vijay Kumar,50,2,0
269,213,Manjunath Nayak,54,1,1
270,214,Venkatesh Rao,60,1,0
271,215,Suresh Pujari,65,2,0
272,216,Kavitha Pujari,60,1,0
273,216,Vijay Kumar,19,2,0
274,217,Venkatesh Bhat,29,2,0
275,218,Vijay Patil,54,1,1
276,219,Vijay Rao,47,1,1
277,220,Ramesh Pujari,45,1,0
278,221,Anitha Bhat,26,1,0
279,222,Suresh Reddy,37,2,0
280,223,Kavitha Bhat,39,2,0
281,224,Vijay Shetty,21,2,0
282,225,Sunita Kulkarni,31,1,0
283,226,Anitha Pujari,44,1,0
284,227,Lakshmi Patil,57,1,0
285,228,Vijay Reddy,40,1,0
286,229,Ganesh Deshmukh,55,1,1
287,230,Kavitha Kulkarni,60,2,0
288,231,Sunita Deshmukh,28,1,0
289,232,Vijay Patil,27,2,0
290,233,Vijay Patil,28,2,0
291,234,Ganesh Pujari,22,2,1
292,235,Ramesh Pujari,24,2,0
293,236,Anitha Gowda,58,2,0
294,237,Lakshmi Hegde,60,1,1
295,238,Anitha Hegde,44,1,0
296,238,Sunita Pujari,57,1,0
297,239,Suresh Gowda,18,2,1
298,240,Suresh Rao,31,2,0
299,241,Kavitha Kulkarni,31,1,0
300,242,Kavitha Deshmukh,34,1,0
301,243,Lakshmi Gowda,48,1,0
302,243,Vijay Deshmukh,47,2,0
303,244,Sunita Shetty,58,1,1
304,245,Mahesh Shetty,47,2,0
305,246,Lakshmi Pujari,29,2,1
306,246,Suresh Shetty,54,1,1
307,247,Lakshmi Kulkarni,18,1,0
308,248,Anitha Deshmukh,41,1,0
309,249,Sunita Rao,32,1,0
310,250,Kavitha Pujari,55,1,0
311,251,Anitha Kulkarni,41,2,1
312,252,Sunita Hegde,61,2,0
313,252,Ramesh Bhat,46,2,0
314,253,Suresh Shetty,29,2,0
315,254,Lakshmi Gowda,63,1,1
316,254,Vijay Kumar,18,2,0
317,255,Kavitha Patil,61,2,1
318,256,Vijay Shetty,21,2,0
319,257,Manjunath Kulkarni,48,1,1
320,258,Suresh Reddy,22,2,0
321,259,Ramesh Kumar,20,1,0
322,260,Ramesh Rao,21,2,1
323,261,Ramesh Deshmukh,28,1,1
324,262,Venkatesh Patil,60,1,0
325,263,Kavitha Patil,48,2,0
326,264,Sunita Pujari,44,2,1
327,265,Ganesh Nayak,22,1,0
328,266,Kavitha Patil,54,1,1
329,267,Venkatesh Kulkarni,39,2,0
330,268,Vijay Kumar,62,1,0
331,269,Lakshmi Kulkarni,42,2,0
332,270,Manjunath Patil,45,2,0
333,271,Vijay Nayak,35,2,0
334,271,Venkatesh Kulkarni,43,1,0
335,272,Manjunath Kumar,65,2,0
336,273,Anitha Bhat,57,1,0
337,274,Mahesh Patil,25,2,0
338,275,Anitha Deshmukh,22,1,1
339,276,Manjunath Deshmukh,22,2,0
340,277,Vijay Nayak,19,2,1
341,278,Venkatesh Bhat,59,2,0
342,279,Venkatesh Kumar,38,1,0
343,280,Priya Nayak,62,2,0
344,281,Ganesh Rao,59,1,0
345,281,Mahesh Reddy,32,2,0
346,282,Manjunath Bhat,64,1,0
347,283,Manjunath Shetty,61,1,0
348,283,Sunita Rao,27,2,0
349,284,Venkatesh Reddy,19,2,0
350,284,Priya Hegde,62,2,0
351,285,Priya Gowda,47,1,1
352,286,Mahesh Nayak,34,1,1
353,287,Vijay Gowda,58,1,0
354,287,Ganesh Nayak,47,2,0
355,288,Anitha Patil,44,1,0
356,288,Kavitha Kulkarni,21,1,0
357,289,Vijay Nayak,57,1,1
358,290,Venkatesh Pujari,63,2,0
359,291,Manjunath Hegde,38,1,0
360,292,Manjunath Kumar,51,2,0
361,293,Lakshmi Nayak,63,2,1
362,294,Suresh Nayak,48,1,1
363,295,Manjunath Shetty,31,1,0
364,296,Anitha Shetty,58,2,1
365,297,Anitha Gowda,60,2,0
366,298,Vijay Bhat,43,1,0
367,299,Mahesh Rao,55,2,0
368,300,Lakshmi Nayak,28,2,0
369,301,Manjunath Kumar,21,2,0
370,302,Lakshmi Patil,18,1,0
371,303,Manjunath Kumar,21,1,0
372,303,Ganesh Kulkarni,45,2,0
373,304,Suresh Deshmukh,56,2,0
374,304,Anitha Patil,24,1,0
375,305,Lakshmi Nayak,53,2,0
376,306,Vijay Pujari,60,2,1
377,307,Ganesh Hegde,28,2,0
378,307,Kavitha Deshmukh,36,2,0
379,308,Kavitha Gowda,29,2,0
380,309,Ramesh Pujari,65,2,0
381,310,Lakshmi Patil,26,2,0
382,311,Manjunath Kulkarni,50,2,0
383,312,Vijay Shetty,22,2,0
384,313,Kavitha Kulkarni,38,1,0
385,313,Suresh Shetty,58,1,0
386,314,Venkatesh Pujari,48,2,1
387,315,Priya Nayak,32,2,0
388,315,Sunita Deshmukh,65,1,0
389,316,Lakshmi Hegde,64,2,0
390,317,Priya Patil,59,1,1
391,318,Venkatesh Pujari,33,1,0
392,319,Suresh Patil,49,1,0
393,319,Venkatesh Hegde,61,1,0
394,320,Lakshmi Gowda,56,2,0
395,321,Anitha Reddy,34,2,0
396,322,Venkatesh Bhat,54,1,0
397,323,Priya Kulkarni,44,1,0
398,323,Lakshmi Kulkarni,42,2,0
399,324,Sunita Gowda,27,2,1
400,325,Mahesh Pujari,58,2,0
401,326,Kavitha Hegde,36,1,0
402,326,Venkatesh Bhat,40,2,0
403,327,Mahesh Deshmukh,32,2,0
404,328,Ganesh Nayak,19,1,0
405,329,Priya Gowda,54,1,1
406,330,Priya Bhat,51,1,0
407,330,Kavitha Nayak,48,1,0
408,331,Mahesh Bhat,25,2,0
409,332,Priya Reddy,62,1,0
410,333,Vijay Pujari,33,2,0
411,334,Priya Deshmukh,34,2,0
412,335,Ganesh Rao,28,1,0
413,336,Lakshmi Shetty,24,1,0
414,337,Mahesh Kumar,52,1,0
415,337,Mahesh Gowda,30,2,0
416,338,Sunita Shetty,50,2,0
417,339,Ramesh Bhat,48,1,0
418,339,Vijay Kulkarni,41,2,0
419,340,Lakshmi Bhat,62,2,1
420,341,Anitha Kumar,35,2,0
421,341,Ramesh Bhat,54,2,0
422,342,Vijay Kumar,34,2,0
423,343,Lakshmi Gowda,58,1,1
424,344,Manjunath Deshmukh,49,2,1
425,345,Vijay Rao,46,2,0
426,346,Kavitha Rao,27,2,0
427,347,Manjunath Bhat,58,1,0
428,348,Lakshmi Rao,38,1,1
429,349,Priya Kulkarni,43,1,0
430,349,Mahesh Nayak,40,1,0
431,350,Kavitha Kumar,28,2,0
432,351,Lakshmi Shetty,36,1,0
433,352,Ganesh Nayak,51,2,1
434,353,Suresh Bhat,55,2,0
435,354,Mahesh Hegde,29,2,0
436,355,Sunita Bhat,55,2,1
437,356,Manjunath Kumar,65,1,1
438,357,Kavitha Gowda,45,1,1
439,358,Mahesh Pujari,64,2,1
440,359,Priya Deshmukh,41,2,0
441,359,Ganesh Kumar,32,2,1
442,360,Lakshmi Gowda,63,2,0
443,361,Kavitha Nayak,34,1,0
444,362,Vijay Kulkarni,44,1,0
445,363,Ramesh Gowda,26,1,0
446,364,Manjunath Reddy,30,2,0
447,364,Ganesh Patil,48,2,0
448,365,Anitha Patil,58,1,0
449,366,Ganesh Kumar,21,2,0
450,367,Sunita Kumar,21,2,0
451,368,Manjunath Reddy,34,1,0
452,368,Ramesh Shetty,50,2,0
453,369,Kavitha Gowda,37,1,0
454,369,Venkatesh Deshmukh,30,2,0
455,370,Kavitha Hegde,47,2,0
456,370,Kavitha Rao,47,2,1
457,371,Anitha Gowda,32,2,0
458,372,Suresh Bhat,59,1,0
459,373,Ramesh Kumar,53,1,0
460,374,Manjunath Kumar,46,2,0
461,375,Suresh Nayak,57,1,1
462,375,Venkatesh Nayak,48,1,1
463,376,Kavitha Pujari,40,2,1
464,377,Manjunath Hegde,28,1,0
465,378,Vijay Bhat,29,2,0
466,379,Venkatesh Gowda,24,1,0
467,380,Anitha Hegde,32,2,0
468,381,Sunita Patil,32,1,0
469,382,Anitha Rao,32,2,0
470,383,Venkatesh Patil,37,1,0
471,383,Anitha Patil,59,1,0
472,384,Priya Reddy,57,2,1
473,385,Lakshmi Kulkarni,49,1,0
474,386,Vijay Shetty,20,2,0
475,387,Sunita Kulkarni,28,1,0
476,388,Vijay Pujari,32,2,0
477,389,Ganesh Patil,47,1,1
478,389,Manjunath Kulkarni,22,2,0
479,390,Ramesh Gowda,63,2,0
480,391,Lakshmi Deshmukh,24,1,1
481,392,Ganesh Rao,35,2,0
482,392,Vijay Hegde,27,1,0
483,393,Vijay Pujari,42,1,1
484,394,Priya Deshmukh,56,2,0
485,395,Priya Patil,22,2,1
486,396,Vijay Bhat,60,1,0
487,397,Manjunath Reddy,18,2,0
488,398,Mahesh Pujari,54,1,1
489,398,Sunita Reddy,24,2,0
490,399,Venkatesh Bhat,29,1,1
491,399,Mahesh Kulkarni,56,2,1
492,400,Ramesh Hegde,32,2,0
493,401,Sunita Nayak,50,2,0
494,402,Mahesh Kulkarni,29,1,1
495,402,Venkatesh Hegde,39,2,0
496,403,Vijay Bhat,24,1,0
497,404,Sunita Reddy,55,1,0
498,405,Sunita Hegde,25,2,0
499,406,Anitha Kumar,50,2,1
500,406,Vijay Shetty,41,1,0
501,407,Sunita Deshmukh,33,2,1
502,407,Anitha Shetty,63,2,1
503,408,Venkatesh Gowda,52,1,1
504,409,Anitha Shetty,24,1,0
505,410,Lakshmi Bhat,50,1,1
506,411,Manjunath Shetty,36,1,0
507,412,Mahesh Shetty,36,1,0
508,413,Ganesh Kulkarni,37,1,1
509,413,Mahesh Rao,38,1,0
510,414,Kavitha Shetty,34,1,0
511,415,Anitha Gowda,31,1,0
512,415,Ganesh Bhat,32,2,0
513,416,Suresh Patil,58,1,0
514,417,Ganesh Shetty,46,1,0
515,417,Venkatesh Shetty,37,1,0
516,418,Suresh Gowda,33,1,0
517,418,Anitha Patil,55,2,0
518,419,Suresh Bhat,52,2,0
519,419,Suresh Pujari,20,1,0
520,420,Vijay Bhat,59,1,0
521,421,Sunita Reddy,58,2,0
522,421,Priya Patil,64,2,0
523,422,Sunita Nayak,34,1,0
524,422,Manjunath Deshmukh,22,1,1
525,423,Priya Pujari,27,2,1
526,424,Ganesh Deshmukh,48,2,0
527,425,Ganesh Kulkarni,46,2,0
528,425,Manjunath Reddy,37,2,0
529,426,Anitha Patil,24,1,0
530,427,Manjunath Nayak,51,2,0
531,428,Ganesh Deshmukh,23,2,0
532,429,Suresh Pujari,34,2,0
533,429,Vijay Kulkarni,35,2,1
534,430,Venkatesh Patil,51,2,0
535,431,Ganesh Shetty,56,2,1
536,432,Kavitha Rao,55,1,0
537,433,Kavitha Shetty,63,2,0
538,434,Sunita Deshmukh,22,1,1
539,435,Mahesh Deshmukh,59,2,0
540,435,Ganesh Shetty,62,1,0
541,436,Priya Gowda,19,2,1
542,437,Lakshmi Nayak,42,2,0
543,438,Kavitha Hegde,27,2,0
544,439,Priya Deshmukh,20,1,0
545,440,Kavitha Rao,26,1,0
546,440,Kavitha Bhat,43,1,0
547,441,Manjunath Shetty,35,2,0
548,442,Lakshmi Shetty,47,1,1
549,443,Kavitha Pujari,33,1,0
550,444,Priya Gowda,31,2,0
551,445,Manjunath Deshmukh,43,2,1
552,446,Kavitha Rao,29,1,1
553,446,Kavitha Kulkarni,57,1,1
554,447,Lakshmi Bhat,63,2,0
555,447,Suresh Deshmukh,22,1,0
556,448,Mahesh Kulkarni,24,2,0
557,448,Priya Shetty,22,1,0
558,449,Mahesh Rao,52,2,1
559,450,Sunita Reddy,23,2,1
560,451,Ganesh Hegde,57,1,0
561,452,Kavitha Reddy,49,2,0
562,453,Vijay Pujari,38,1,0
563,453,Kavitha Deshmukh,30,2,0
564,454,Anitha Bhat,40,1,1
565,455,Manjunath Kumar,51,2,0
566,456,Ramesh Deshmukh,29,2,0
567,456,Mahesh Kulkarni,56,2,0
568,457,Ramesh Shetty,40,2,0
569,458,Anitha Deshmukh,44,1,1
570,459,Lakshmi Kulkarni,28,1,0
571,460,Anitha Kulkarni,34,1,0
572,461,Anitha Kulkarni,47,1,1
573,462,Priya Pujari,35,1,1
574,463,Manjunath Pujari,64,1,0
575,464,Kavitha Shetty,53,2,0
576,465,Kavitha Hegde,37,2,0
577,466,Anitha Shetty,36,1,0
578,466,Ganesh Reddy,35,1,0
579,467,Mahesh Deshmukh,60,2,1
580,467,Sunita Kulkarni,59,1,0
581,468,Sunita Deshmukh,37,1,1
582,468,Manjunath Kumar,38,2,0
583,469,Priya Kumar,63,1,0
584,469,Anitha Reddy,59,1,0
585,470,Sunita Kulkarni,32,1,0
586,470,Lakshmi Rao,54,2,0
587,471,Ganesh Rao,36,1,0
588,472,Venkatesh Deshmukh,40,2,0
589,473,Ganesh Reddy,29,1,0
590,474,Anitha Kulkarni,45,2,0
591,475,Vijay Reddy,61,1,1
592,476,Priya Bhat,25,1,1
593,477,Venkatesh Patil,57,2,1
594,478,Kavitha Gowda,49,2,1
595,479,Mahesh Shetty,54,1,0
596,480,Mahesh Shetty,51,1,0
597,480,Ganesh Nayak,61,2,1
598,481,Vijay Deshmukh,38,2,0
599,482,Vijay Kumar,55,2,1
600,483,Sunita Kumar,62,1,0
601,484,Manjunath Patil,28,1,0
602,485,Ramesh Rao,19,1,0
603,485,Ganesh Kulkarni,33,2,0
604,486,Kavitha Shetty,19,2,0
605,486,Ganesh Patil,53,2,0
606,487,Anitha Kulkarni,54,2,0
607,488,Kavitha Rao,29,1,0
608,489,Priya Rao,50,2,0
609,489,Manjunath Gowda,28,1,1
610,490,Vijay Patil,42,2,0
611,491,Vijay Hegde,28,2,0
612,492,Priya Gowda,62,1,0
613,493,Sunita Kumar,31,2,1
614,494,Suresh Deshmukh,41,2,1
615,495,Kavitha Nayak,53,2,0
616,495,Sunita Bhat,53,1,1
617,496,Mahesh Patil,60,1,0
618,497,Kavitha Shetty,29,1,1
619,498,Priya Patil,24,1,0
620,498,Kavitha Shetty,36,2,1
621,499,Manjunath Gowda,27,1,0
622,500,Sunita Kumar,48,2,0
623,501,Ganesh Patil,23,1,0
624,502,Suresh Nayak,33,1,0
625,503,Mahesh Deshmukh,54,1,0
626,504,Venkatesh Pujari,39,1,1
627,504,Suresh Kumar,29,2,0
628,505,Mahesh Pujari,61,1,0
629,506,Sunita Rao,30,1,1
630,506,Mahesh Bhat,38,1,1
631,507,Vijay Pujari,39,1,0
632,508,Mahesh Rao,24,2,0
633,509,Manjunath Pujari,46,2,1
634,509,Priya Patil,60,2,0
635,510,Suresh Reddy,60,2,1
636,511,Anitha Reddy,18,1,0
637,512,Sunita Nayak,37,2,0
638,512,Vijay Kulkarni,32,1,1
639,513,Vijay Kumar,47,2,0
640,513,Lakshmi Nayak,28,2,0
641,514,Anitha Shetty,65,2,0
642,514,Mahesh Reddy,40,2,0
643,515,Kavitha Shetty,41,2,0
644,515,Vijay Patil,29,1,0
645,516,Mahesh Nayak,35,2,1
646,516,Suresh Rao,56,2,0
647,517,Venkatesh Nayak,35,2,1
648,518,Anitha Patil,39,1,0
649,519,Anitha Nayak,51,2,0
650,520,Lakshmi Gowda,26,2,0
651,520,Ramesh Nayak,21,2,0
652,521,Venkatesh Rao,24,2,0
653,522,Lakshmi Shetty,49,1,1
654,523,Ramesh Nayak,45,2,0
655,524,Manjunath Rao,47,1,0
656,524,Kavitha Rao,40,2,1
657,525,Suresh Rao,38,2,1
658,526,Sunita Hegde,55,2,0
659,527,Manjunath Rao,46,2,0
660,528,Mahesh Gowda,63,2,0
661,529,Suresh Nayak,45,1,0
662,530,Ramesh Kulkarni,57,2,1
663,531,Ramesh Bhat,19,1,0
664,532,Vijay Kumar,48,1,1
665,532,Suresh Deshmukh,59,2,0
666,533,Suresh Kulkarni,42,1,0
667,533,Venkatesh Pujari,31,1,0
668,534,Venkatesh Nayak,25,2,0
669,535,Sunita Patil,20,1,0
670,536,Suresh Shetty,28,1,0
671,537,Venkatesh Hegde,35,1,0
672,537,Vijay Reddy,55,2,0
673,538,Venkatesh Reddy,35,2,0
674,539,Ramesh Kumar,20,2,0
675,539,Mahesh Bhat,47,2,0
676,540,Manjunath Patil,50,1,0
677,541,Priya Hegde,33,1,0
678,542,Manjunath Nayak,28,1,0
679,543,Kavitha Kulkarni,39,1,0
680,544,Kavitha Rao,37,1,0
681,545,Kavitha Hegde,65,2,0
682,545,Venkatesh Bhat,54,1,0
683,546,Venkatesh Nayak,48,1,0
684,547,Kavitha Rao,53,1,0
685,548,Mahesh Kulkarni,60,1,0
686,549,Kavitha Deshmukh,32,1,0
687,550,Lakshmi Pujari,44,2,0
688,551,Vijay Rao,49,2,1
689,552,Lakshmi Patil,64,2,0
690,553,Manjunath Nayak,34,2,1
691,553,Ramesh Kulkarni,46,2,0
692,554,Ramesh Deshmukh,58,1,1
693,555,Kavitha Shetty,26,2,0
694,556,Suresh Patil,39,2,0
695,557,Suresh Kulkarni,18,1,1
696,558,Vijay Rao,57,1,0
697,559,Kavitha Bhat,63,1,1
698,560,Kavitha Nayak,38,1,0
699,561,Priya Hegde,46,2,0
700,562,Anitha Deshmukh,24,2,0
701,563,Venkatesh Deshmukh,58,2,0
