AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
52,28,Venkatesh Pujari,27,2,A2
53,29,Sunita Kumar,40,1,A1
54,29,Anitha Bhat,41,2,A2
55,30,Priya Shetty,23,2,A1
56,31,Ganesh Kumar,41,2,A1
57,32,Suresh Shetty,50,1,A1
58,32,Mahesh Gowda,42,1,A2
59,32,Venkatesh Deshmukh,32,2,A3
60,33,Vijay Pujari,44,1,A1
61,34,Venkatesh Pujari,26,2,A1
62,35,Lakshmi Kulkarni,37,2,A1
63,35,Sunita Nayak,45,1,A2
64,35,Suresh Rao,45,1,A3
65,36,Mahesh Shetty,31,1,A1
66,36,Priya Kumar,49,2,A2
67,36,Mahesh Bhat,35,1,A3
68,37,Ganesh Shetty,30,1,A1
69,37,Lakshmi Deshmukh,43,1,A2
70,37,Ramesh Reddy,44,1,A3
71,38,Manjunath Kumar,37,1,A1
72,39,Priya Hegde,44,1,A1
73,39,Priya Shetty,22,2,A2
74,39,Anitha Kumar,49,2,A3
75,40,Manjunath Bhat,28,2,A1
76,40,Ganesh Kumar,33,2,A2
77,41,Kavitha Kumar,42,1,A1
78,42,Priya Reddy,42,2,A1
79,42,Venkatesh Pujari,25,1,A2
80,43,Vijay Patil,35,1,A1
81,43,Kavitha Reddy,45,1,A2
82,44,Kavitha Kulkarni,25,1,A1
83,45,Ramesh Rao,24,1,A1
84,45,Lakshmi Nayak,28,1,A2
85,46,Suresh Patil,23,1,A1
86,47,Priya Pujari,50,1,A1
87,48,Mahesh Shetty,36,1,A1
88,49,Vijay Reddy,24,1,A1
89,50,Kavitha Pujari,28,1,A1
90,50,Suresh Shetty,30,2,A2
91,51,Kavitha Bhat,36,1,A1
92,51,Kavitha Nayak,33,1,A2
93,52,Sunita Deshmukh,50,1,A1
94,53,Anitha Shetty,48,2,A1
95,53,Suresh Hegde,30,1,A2
96,53,Kavitha Reddy,24,1,A3
97,54,Anitha Bhat,39,1,A1
98,55,Mahesh Hegde,26,2,A1
99,55,Lakshmi Deshmukh,23,1,A2
100,56,Venkatesh Hegde,27,2,A1
101,56,Sunita Deshmukh,45,1,A2
102,56,Priya Rao,32,1,A3
103,57,Sunita Pujari,35,2,A1
104,57,Manjunath Bhat,41,2,A2
105,58,Sunita Kumar,43,1,A1
106,58,Sunita Rao,33,2,A2
107,58,Manjunath Gowda,28,1,A3
108,59,Venkatesh Reddy,28,1,A1
109,60,Kavitha Shetty,37,1,A1
110,61,Vijay Patil,41,1,A1
111,61,Venkatesh Nayak,28,1,A2
112,61,Vijay Kulkarni,23,1,A3
113,62,Ramesh Kumar,50,1,A1
114,62,Lakshmi Pujari,23,1,A2
115,63,Suresh Patil,28,1,A1
116,63,Suresh Hegde,28,2,A2
117,63,Venkatesh Bhat,22,1,A3
118,64,Priya Gowda,34,2,A1
119,65,Kavitha Kumar,22,1,A1
120,66,Suresh Rao,30,1,A1
121,67,Kavitha Gowda,26,1,A1
122,67,Ganesh Pujari,36,1,A2
123,68,Sunita Nayak,43,1,A1
124,68,Vijay Reddy,35,1,A2
125,68,Suresh Shetty,36,1,A3
126,69,Mahesh Deshmukh,43,1,A1
127,69,Anitha Reddy,35,2,A2
128,69,Priya Pujari,37,1,A3
129,70,Lakshmi Gowda,29,1,A1
130,71,Manjunath Bhat,30,2,A1
131,72,Venkatesh Nayak,42,1,A1
132,72,Ganesh Rao,40,2,A2
133,73,Kavitha Kulkarni,37,1,A1
134,74,Lakshmi Kumar,39,2,A1
135,74,Ramesh Kulkarni,35,2,A2
136,75,Vijay Pujari,34,1,A1
137,75,Lakshmi Hegde,43,1,A2
138,76,Suresh Deshmukh,19,1,A1
139,76,Kavitha Reddy,39,1,A2
140,77,Manjunath Deshmukh,34,1,A1
141,78,Mahesh Shetty,22,1,A1
142,79,Ganesh Pujari,34,2,A1
143,79,Kavitha Nayak,27,1,A2
144,80,Ramesh Bhat,34,2,A1
145,80,Manjunath Patil,36,1,A2
146,80,Manjunath Pujari,38,1,A3
147,81,Mahesh Hegde,26,1,A1
148,82,Lakshmi Patil,49,1,A1
149,82,Sunita Nayak,49,1,A2
150,83,Venkatesh Shetty,32,1,A1
151,83,Ganesh Kulkarni,39,1,A2
152,84,Venkatesh Patil,34,1,A1
153,84,Ganesh Deshmukh,35,1,A2
154,84,Ganesh Reddy,44,1,A3
155,85,Lakshmi Hegde,48,1,A1
156,86,Priya Hegde,34,1,A1
157,87,Manjunath Pujari,22,1,A1
158,87,Suresh Deshmukh,49,1,A2
159,87,Ganesh Bhat,39,2,A3
160,88,Anitha Gowda,33,1,A1
161,89,Mahesh Kumar,38,1,A1
162,90,Kavitha Patil,35,1,A1
163,91,Anitha Hegde,27,1,A1
164,92,Lakshmi Nayak,35,1,A1
165,93,Suresh Kumar,19,1,A1
166,93,Lakshmi Deshmukh,28,1,A2
167,93,Sunita Kulkarni,49,2,A3
168,94,Mahesh Pujari,48,2,A1
169,94,Manjunath Kulkarni,32,2,A2
170,95,Vijay Rao,32,2,A1
171,96,Ramesh Bhat,25,1,A1
172,97,Vijay Shetty,26,1,A1
173,98,Lakshmi Kulkarni,42,1,A1
174,99,Ramesh Nayak,44,2,A1
175,100,Suresh Kulkarni,38,1,A1
176,101,Ramesh Kumar,23,2,A1
177,101,Mahesh Reddy,47,1,A2
178,101,Mahesh Kulkarni,27,1,A3
179,102,Manjunath Shetty,34,1,A1
180,102,Priya Bhat,24,2,A2
181,103,Mahesh Gowda,23,2,A1
182,103,Kavitha Kulkarni,45,2,A2
183,103,Anitha Reddy,31,1,A3
184,104,Venkatesh Patil,21,1,A1
185,105,Anitha Nayak,32,1,A1
186,105,Sunita Kulkarni,29,1,A2
187,105,Ramesh Rao,22,1,A3
188,106,Suresh Shetty,47,2,A1
189,107,Venkatesh Pujari,33,2,A1
190,107,Anitha Hegde,33,1,A2
191,108,Mahesh Patil,44,2,A1
192,109,Ganesh Deshmukh,34,1,A1
193,110,Suresh Hegde,36,1,A1
194,110,Ganesh Deshmukh,24,1,A2
195,111,Ramesh Hegde,25,1,A1
196,111,Ramesh Rao,50,1,A2
197,112,Kavitha Deshmukh,42,1,A1
198,112,Ganesh Shetty,33,1,A2
199,112,Ganesh Patil,30,1,A3
200,113,Suresh Nayak,50,1,A1
201,113,Venkatesh Kumar,25,1,A2
202,114,Sunita Pujari,36,1,A1
203,115,Ramesh Bhat,30,1,A1
204,115,Lakshmi Deshmukh,26,1,A2
205,115,Vijay Kulkarni,44,1,A3
206,116,Anitha Patil,35,2,A1
207,117,Anitha Gowda,47,1,A1
208,117,Manjunath Deshmukh,35,1,A2
209,118,Sunita Pujari,42,1,A1
210,119,Priya Pujari,42,1,A1
211,119,Manjunath Kumar,45,1,A2
212,120,Sunita Nayak,36,1,A1
213,121,Suresh Kulkarni,33,1,A1
214,122,Lakshmi Patil,27,2,A1
215,123,Ramesh Kumar,31,1,A1
216,124,Manjunath Nayak,44,1,A1
217,125,Kavitha Rao,27,1,A1
218,125,Ganesh Rao,29,1,A2
219,125,Priya Hegde,42,2,A3
220,126,Venkatesh Nayak,19,1,A1
221,127,Anitha Bhat,28,1,A1
222,128,Priya Nayak,49,1,A1
223,129,Manjunath Shetty,32,1,A1
224,129,Mahesh Rao,19,1,A2
225,130,Lakshmi Reddy,36,1,A1
226,130,Venkatesh Deshmukh,49,1,A2
227,130,Lakshmi Rao,26,2,A3
228,131,Anitha Shetty,42,1,A1
229,132,Mahesh Pujari,21,1,A1
230,132,Sunita Nayak,42,2,A2
231,133,Venkatesh Kumar,29,2,A1
232,134,Ramesh Rao,47,2,A1
233,135,Ganesh Shetty,42,1,A1
234,136,Lakshmi Bhat,34,1,A1
235,137,Manjunath Rao,50,1,A1
236,138,Mahesh Patil,25,2,A1
237,138,Suresh Hegde,22,2,A2
238,139,Sunita Rao,32,1,A1
239,139,Lakshmi Rao,40,1,A2
240,140,Anitha Gowda,41,1,A1
241,141,Mahesh Pujari,42,1,A1
242,141,Priya Nayak,48,1,A2
243,142,Ganesh Gowda,36,2,A1
244,142,Anitha Shetty,30,1,A2
245,143,Lakshmi Patil,43,1,A1
246,143,Anitha Reddy,27,1,A2
247,144,Mahesh Gowda,40,1,A1
248,145,Ganesh Kumar,49,2,A1
249,145,Vijay Patil,45,1,A2
250,146,Mahesh Pujari,41,1,A1
251,147,Manjunath Patil,31,2,A1
252,147,Sunita Rao,31,1,A2
253,147,Priya Deshmukh,39,1,A3
254,148,Vijay Kumar,20,1,A1
255,149,Priya Hegde,31,2,A1
256,149,Sunita Kumar,45,1,A2
257,149,Suresh Shetty,37,1,A3
258,150,Anitha Shetty,20,1,A1
259,151,Vijay Kumar,45,2,A1
260,152,Vijay Hegde,20,1,A1
261,152,Ganesh Patil,24,1,A2
262,152,Vijay Patil,19,1,A3
263,153,Lakshmi Hegde,49,2,A1
264,154,Sunita Kumar,47,1,A1
265,155,Mahesh Reddy,50,1,A1
266,156,Anitha Kumar,35,1,A1
267,156,Sunita Rao,47,1,A2
268,156,Vijay Deshmukh,33,1,A3
269,157,Manjunath Gowda,46,1,A1
270,157,Mahesh Reddy,19,1,A2
271,157,Sunita Shetty,44,1,A3
272,158,Ganesh Deshmukh,27,1,A1
273,159,Venkatesh Deshmukh,46,1,A1
274,159,Manjunath Rao,26,2,A2
275,159,Vijay Patil,49,1,A3
276,160,Lakshmi Rao,21,1,A1
277,160,Anitha Nayak,48,1,A2
278,160,Sunita Deshmukh,23,1,A3
279,161,Manjunath Reddy,20,1,A1
280,162,Kavitha Shetty,37,1,A1
281,163,Vijay Kulkarni,50,1,A1
282,164,Priya Bhat,20,2,A1
283,165,Vijay Rao,45,1,A1
284,166,Ganesh Kumar,37,1,A1
285,167,Manjunath Kulkarni,25,1,A1
286,167,Manjunath Kulkarni,35,1,A2
287,168,Lakshmi Kumar,44,1,A1
288,168,Suresh Bhat,40,2,A2
289,168,Suresh Pujari,38,1,A3
290,169,Vijay Shetty,23,1,A1
291,169,Venkatesh Patil,25,1,A2
292,169,Vijay Deshmukh,36,1,A3
293,170,Anitha Reddy,49,1,A1
294,171,Ramesh Reddy,20,1,A1
295,172,Venkatesh Nayak,20,1,A1
296,173,Lakshmi Patil,46,1,A1
297,174,Priya Nayak,25,1,A1
298,174,Vijay Pujari,28,2,A2
299,174,Mahesh Rao,34,1,A3
300,175,Venkatesh Nayak,47,2,A1
301,175,Anitha Shetty,24,2,A2
302,176,Venkatesh Pujari,43,1,A1
303,176,Mahesh Shetty,49,1,A2
304,176,Kavitha Patil,31,1,A3
305,177,Ramesh Patil,47,1,A1
306,177,Suresh Deshmukh,24,1,A2
307,178,Ganesh Shetty,43,1,A1
308,179,Lakshmi Rao,42,1,A1
309,180,Kavitha Gowda,32,1,A1
310,181,Mahesh Kumar,21,1,A1
311,181,Ramesh Reddy,20,2,A2
312,181,Mahesh Gowda,22,1,A3
313,182,Mahesh Rao,31,2,A1
314,183,Sunita Shetty,26,1,A1
315,183,Mahesh Kumar,36,1,A2
316,184,Vijay Patil,39,1,A1
317,184,Ganesh Nayak,21,1,A2
318,184,Ramesh Gowda,47,1,A3
319,185,Lakshmi Nayak,49,2,A1
320,186,Sunita Reddy,19,1,A1
321,187,Priya Bhat,20,1,A1
322,187,Mahesh Bhat,34,1,A2
323,187,Priya Rao,38,1,A3
324,188,Sunita Kulkarni,35,1,A1
325,189,Vijay Reddy,50,2,A1
326,189,Mahesh Reddy,35,2,A2
327,190,Anitha Reddy,29,1,A1
328,191,Manjunath Patil,24,1,A1
329,191,Sunita Rao,43,1,A2
330,192,Kavitha Rao,46,1,A1
331,192,Vijay Pujari,22,1,A2
332,192,Sunita Patil,45,1,A3
333,193,Suresh Shetty,46,1,A1
334,193,Mahesh Patil,29,1,A2
335,193,Venkatesh Patil,35,2,A3
336,194,Mahesh Reddy,24,1,A1
337,195,Kavitha Hegde,38,2,A1
338,196,Ganesh Reddy,25,1,A1
339,197,Sunita Shetty,47,1,A1
340,197,Anitha Pujari,36,1,A2
341,197,Suresh Patil,46,2,A3
342,198,Ganesh Shetty,43,1,A1
343,198,Mahesh Pujari,42,1,A2
344,198,Priya Deshmukh,39,1,A3
345,199,Mahesh Rao,31,2,A1
346,200,Sunita Kulkarni,28,1,A1
347,201,Priya Rao,20,1,A1
348,202,Mahesh Reddy,40,1,A1
349,203,Ramesh Shetty,42,1,A1
350,204,Lakshmi Gowda,41,1,A1
351,205,Manjunath Deshmukh,42,1,A1
352,205,Suresh Kulkarni,28,1,A2
353,205,Vijay Hegde,30,1,A3
354,206,Suresh Pujari,30,1,A1
355,207,Suresh Bhat,19,1,A1
356,208,Lakshmi Patil,25,2,A1
357,209,Sunita Kulkarni,28,1,A1
358,209,Priya Pujari,35,1,A2
359,209,Mahesh Bhat,29,1,A3
360,210,Ramesh Pujari,50,1,A1
361,210,Ganesh Reddy,41,1,A2
362,211,Suresh Patil,48,2,A1
363,211,Kavitha Rao,43,1,A2
364,211,Mahesh Shetty,43,2,A3
365,212,Anitha Nayak,37,1,A1
366,213,Ganesh Gowda,48,1,A1
367,214,Lakshmi Reddy,24,1,A1
368,214,Ganesh Rao,37,1,A2
369,215,Ganesh Nayak,26,1,A1
370,216,Lakshmi Rao,29,1,A1
371,216,Vijay Bhat,21,2,A2
372,217,Anitha Patil,19,1,A1
373,218,Kavitha Rao,40,1,A1
374,219,Suresh Gowda,45,2,A1
375,220,Sunita Pujari,24,1,A1
376,221,Venkatesh Nayak,36,1,A1
377,222,Suresh Rao,45,1,A1
378,222,Suresh Nayak,42,1,A2
379,222,Manjunath Reddy,23,1,A3
380,223,Kavitha Patil,34,1,A1
381,224,Manjunath Gowda,48,1,A1
382,225,Sunita Bhat,47,2,A1
383,225,Ramesh Deshmukh,25,1,A2
384,226,Kavitha Shetty,41,1,A1
385,227,Lakshmi Reddy,30,1,A1
386,227,Anitha Pujari,32,1,A2
387,228,Suresh Kulkarni,22,1,A1
388,229,Kavitha Kulkarni,44,2,A1
389,230,Ramesh Bhat,42,2,A1
390,231,Manjunath Hegde,19,2,A1
391,232,Suresh Gowda,32,1,A1
392,232,Priya Hegde,33,2,A2
393,232,Mahesh Kumar,39,1,A3
394,233,Sunita Bhat,46,1,A1
395,233,Sunita Reddy,33,2,A2
396,234,Mahesh Patil,47,2,A1
397,235,Manjunath Shetty,35,1,A1
398,235,Manjunath Gowda,49,1,A2
399,235,Ganesh Kumar,29,1,A3
400,236,Kavitha Deshmukh,30,1,A1
401,237,Suresh Gowda,42,1,A1
402,237,Sunita Kulkarni,30,1,A2
403,238,Vijay Pujari,37,1,A1
404,239,Vijay Hegde,30,1,A1
405,239,Ganesh Nayak,47,1,A2
406,239,Mahesh Shetty,45,1,A3
407,240,Anitha Bhat,36,2,A1
408,240,Suresh Patil,30,1,A2
409,240,Mahesh Patil,47,1,A3
410,241,Priya Shetty,33,1,A1
411,241,Kavitha Gowda,30,1,A2
412,241,Manjunath Nayak,28,1,A3
413,242,Lakshmi Kumar,47,1,A1
414,242,Priya Shetty,48,1,A2
415,243,Ganesh Deshmukh,50,1,A1
416,243,Priya Bhat,45,1,A2
417,243,Mahesh Nayak,34,1,A3
418,244,Lakshmi Kumar,35,1,A1
419,244,Priya Bhat,28,1,A2
420,245,Manjunath Bhat,22,1,A1
421,246,Ganesh Deshmukh,40,2,A1
422,246,Ramesh Bhat,29,1,A2
423,246,Ramesh Rao,49,1,A3
424,247,Venkatesh Nayak,23,1,A1
425,248,Kavitha Reddy,43,1,A1
426,248,Venkatesh Pujari,24,1,A2
427,249,Sunita Nayak,48,1,A1
428,250,Venkatesh Pujari,21,1,A1
429,251,Priya Pujari,30,1,A1
430,251,Mahesh Bhat,48,1,A2
431,252,Suresh Rao,44,1,A1
432,253,Venkatesh Kulkarni,29,2,A1
433,253,Anitha Patil,29,2,A2
434,253,Anitha Hegde,33,1,A3
435,254,Vijay Rao,36,2,A1
436,254,Mahesh Kumar,30,1,A2
437,255,Venkatesh Kulkarni,45,2,A1
438,255,Venkatesh Patil,38,1,A2
439,256,Sunita Nayak,40,1,A1
440,256,Ramesh Kumar,23,2,A2
441,257,Suresh Patil,48,2,A1
442,257,Ganesh Kumar,45,1,A2
443,257,Vijay Reddy,47,1,A3
444,258,Manjunath Hegde,20,1,A1
445,259,Kavitha Reddy,39,2,A1
446,260,Manjunath Patil,46,1,A1
447,260,Suresh Hegde,41,1,A2
448,261,Ramesh Kumar,38,1,A1
449,261,Mahesh Rao,36,1,A2
450,262,Vijay Nayak,46,1,A1
451,262,Sunita Hegde,40,2,A2
452,263,Vijay Reddy,36,1,A1
453,264,Manjunath Hegde,22,1,A1
454,265,Lakshmi Pujari,48,1,A1
455,265,Priya Deshmukh,21,2,A2
456,265,Venkatesh Kulkarni,19,1,A3
457,266,Ramesh Pujari,40,1,A1
458,267,Priya Nayak,34,2,A1
459,267,Ramesh Reddy,50,1,A2
460,268,Ganesh Deshmukh,48,1,A1
461,269,Manjunath Kulkarni,36,1,A1
462,270,Ramesh Hegde,25,2,A1
463,271,Suresh Pujari,36,1,A1
464,272,Lakshmi Reddy,25,1,A1
465,272,Venkatesh Shetty,36,2,A2
466,272,Priya Rao,36,1,A3
467,273,Anitha Patil,22,1,A1
468,274,Ramesh Kumar,37,1,A1
469,274,Ganesh Gowda,20,1,A2
470,274,Vijay Kumar,33,1,A3
471,275,Lakshmi Rao,48,2,A1
472,275,Lakshmi Reddy,24,2,A2
473,276,Ramesh Shetty,38,1,A1
474,276,Suresh Reddy,46,1,A2
475,276,Kavitha Patil,28,2,A3
476,277,Suresh Kumar,19,1,A1
477,278,Priya Nayak,22,1,A1
478,278,Sunita Gowda,25,2,A2
479,278,Ganesh Patil,43,2,A3
480,279,Sunita Gowda,39,2,A1
481,279,Ramesh Kulkarni,19,1,A2
482,280,Ganesh Bhat,42,1,A1
483,280,Priya Rao,23,1,A2
484,280,Vijay Shetty,29,1,A3
485,281,Kavitha Reddy,42,1,A1
486,282,Suresh Rao,19,1,A1
487,283,Priya Shetty,25,1,A1
488,283,Venkatesh Kumar,23,2,A2
489,284,Kavitha Kumar,37,2,A1
490,284,Lakshmi Patil,33,1,A2
491,284,Venkatesh Hegde,19,1,A3
492,285,Mahesh Rao,19,1,A1
493,285,Ganesh Deshmukh,39,1,A2
494,285,Vijay Rao,40,1,A3
495,286,Anitha Kulkarni,25,2,A1
496,286,Kavitha Gowda,27,1,A2
497,287,Mahesh Kulkarni,19,1,A1
498,287,Manjunath Bhat,35,1,A2
499,288,Ganesh Shetty,35,2,A1
500,289,Suresh Pujari,34,1,A1
501,290,Suresh Nayak,28,1,A1
502,290,Mahesh Hegde,22,1,A2
503,291,Lakshmi Gowda,21,2,A1
504,291,Lakshmi Reddy,34,1,A2
505,292,Manjunath Nayak,42,2,A1
506,293,Kavitha Bhat,38,1,A1
507,294,Anitha Hegde,35,1,A1
508,295,Sunita Nayak,30,1,A1
509,296,Manjunath Nayak,41,1,A1
510,297,Priya Deshmukh,40,1,A1
511,297,Sunita Reddy,50,1,A2
512,297,Sunita Hegde,48,1,A3
513,298,Manjunath Shetty,29,2,A1
514,299,Kavitha Bhat,39,1,A1
515,299,Priya Kumar,28,2,A2
516,300,Sunita Pujari,21,2,A1
517,300,Vijay Shetty,46,1,A2
518,301,Vijay Gowda,26,2,A1
519,301,Manjunath Kumar,23,1,A2
520,302,Anitha Hegde,32,1,A1
521,302,Anitha Reddy,48,2,A2
522,302,Manjunath Rao,33,2,A3
523,303,Manjunath Reddy,46,1,A1
524,303,Priya Kumar,28,2,A2
525,304,Priya Deshmukh,32,1,A1
526,304,Ganesh Reddy,19,1,A2
527,305,Manjunath Deshmukh,21,2,A1
528,306,Lakshmi Patil,45,1,A1
529,307,Lakshmi Patil,34,2,A1
530,308,Manjunath Rao,30,1,A1
531,309,Sunita Deshmukh,41,1,A1
532,309,Lakshmi Kumar,38,1,A2
533,310,Manjunath Patil,46,1,A1
534,311,Venkatesh Nayak,40,1,A1
535,312,Suresh Kumar,43,1,A1
536,313,Sunita Nayak,37,1,A1
537,314,Ganesh Hegde,50,1,A1
538,315,Lakshmi Hegde,46,1,A1
539,315,Lakshmi Nayak,26,1,A2
540,315,Mahesh Pujari,37,1,A3
541,316,Manjunath Nayak,47,2,A1
542,317,Ganesh Kulkarni,48,1,A1
543,317,Kavitha Reddy,25,1,A2
544,317,Priya Deshmukh,24,1,A3
545,318,Venkatesh Rao,40,2,A1
546,319,Ramesh Rao,39,1,A1
547,319,Kavitha Gowda,31,1,A2
548,320,Vijay Reddy,34,2,A1
549,320,Vijay Patil,32,1,A2
550,320,Vijay Hegde,30,1,A3
551,321,Venkatesh Pujari,25,1,A1
552,321,Lakshmi Reddy,36,2,A2
553,321,Suresh Rao,20,2,A3
554,322,Sunita Kulkarni,41,1,A1
555,323,Lakshmi Reddy,36,2,A1
556,324,Venkatesh Shetty,44,1,A1
557,325,Vijay Nayak,39,1,A1
558,326,Mahesh Patil,33,1,A1
559,326,Ramesh Deshmukh,33,1,A2
560,327,Ramesh Rao,42,1,A1
561,327,Priya Rao,46,2,A2
562,328,Lakshmi Pujari,19,1,A1
563,328,Sunita Bhat,27,2,A2
564,329,Ramesh Rao,26,1,A1
565,330,Vijay Deshmukh,43,2,A1
566,331,Lakshmi Kulkarni,43,1,A1
567,331,Lakshmi Reddy,48,1,A2
568,332,Priya Nayak,23,1,A1
569,333,Priya Patil,27,1,A1
570,333,Suresh Kulkarni,38,2,A2
571,333,Sunita Patil,23,1,A3
572,334,Ganesh Gowda,19,1,A1
573,334,Ramesh Bhat,49,1,A2
574,335,Vijay Bhat,45,2,A1
575,336,Kavitha Bhat,35,2,A1
576,337,Mahesh Shetty,43,1,A1
577,337,Ramesh Patil,20,1,A2
578,337,Ramesh Deshmukh,27,1,A3
579,338,Venkatesh Rao,36,2,A1
580,338,Suresh Deshmukh,19,1,A2
581,338,Ganesh Shetty,28,1,A3
582,339,Manjunath Deshmukh,50,1,A1
583,340,Lakshmi Hegde,34,1,A1
584,341,Ganesh Kulkarni,22,1,A1
585,342,Anitha Rao,45,1,A1
586,342,Suresh Patil,21,2,A2
587,343,Kavitha Kulkarni,22,2,A1
588,343,Manjunath Gowda,43,1,A2
589,344,Manjunath Nayak,46,1,A1
590,344,Vijay Gowda,49,2,A2
591,345,Priya Kulkarni,31,2,A1
592,346,Vijay Hegde,27,2,A1
593,346,Lakshmi Kulkarni,26,2,A2
594,347,Vijay Nayak,34,2,A1
595,348,Venkatesh Patil,39,2,A1
596,349,Priya Kulkarni,22,1,A1
597,349,Priya Kulkarni,49,1,A2
598,350,Ramesh Patil,31,1,A1
599,351,Ramesh Pujari,27,1,A1
600,352,Ramesh Patil,23,2,A1
601,353,Anitha Reddy,30,1,A1
602,354,Kavitha Gowda,43,1,A1
603,355,Mahesh Deshmukh,20,1,A1
604,355,Suresh Pujari,42,1,A2
605,355,Ramesh Bhat,36,2,A3
606,356,Sunita Rao,26,1,A1
607,357,Lakshmi Deshmukh,24,1,A1
608,357,Venkatesh Rao,39,2,A2
609,357,Mahesh Kumar,35,1,A3
610,358,Lakshmi Hegde,39,1,A1
611,359,Kavitha Kumar,23,2,A1
612,360,Anitha Reddy,44,1,A1
613,361,Lakshmi Kulkarni,27,2,A1
614,361,Lakshmi Gowda,26,2,A2
615,362,Priya Deshmukh,34,1,A1
616,363,Kavitha Rao,32,2,A1
617,364,Anitha Deshmukh,25,1,A1
618,365,Mahesh Pujari,35,1,A1
619,365,Mahesh Reddy,26,1,A2
620,365,Vijay Deshmukh,39,1,A3
621,366,Suresh Nayak,40,1,A1
622,366,Manjunath Nayak,43,1,A2
623,367,Mahesh Rao,26,1,A1
624,368,Anitha Deshmukh,37,1,A1
625,369,Mahesh Hegde,20,1,A1
626,369,Sunita Gowda,21,1,A2
627,369,Mahesh Rao,47,1,A3
628,370,Manjunath Patil,48,1,A1
629,370,Sunita Reddy,32,1,A2
630,371,Lakshmi Kulkarni,27,1,A1
631,371,Anitha Gowda,37,2,A2
632,371,Venkatesh Rao,43,1,A3
633,372,Manjunath Hegde,43,2,A1
634,373,Ramesh Gowda,49,2,A1
635,373,Manjunath Rao,33,1,A2
636,374,Kavitha Rao,26,1,A1
637,375,Kavitha Patil,21,1,A1
638,375,Anitha Kumar,26,2,A2
639,376,Sunita Pujari,25,1,A1
640,376,Ganesh Bhat,25,1,A2
641,376,Anitha Deshmukh,50,1,A3
642,377,Priya Rao,42,1,A1
643,378,Priya Bhat,46,1,A1
644,379,Manjunath Bhat,46,1,A1
645,380,Anitha Deshmukh,43,2,A1
646,380,Suresh Deshmukh,19,1,A2
647,381,Sunita Kulkarni,42,1,A1
648,381,Kavitha Kumar,19,1,A2
649,382,Ganesh Bhat,40,1,A1
650,383,Venkatesh Gowda,41,1,A1
651,383,Manjunath Kulkarni,28,1,A2
652,384,Anitha Patil,35,1,A1
653,384,Ramesh Reddy,39,2,A2
654,384,Priya Bhat,33,2,A3
655,385,Lakshmi Reddy,19,2,A1
656,386,Vijay Reddy,25,1,A1
657,386,Anitha Deshmukh,23,1,A2
658,386,Sunita Gowda,29,1,A3
659,387,Suresh Bhat,25,1,A1
660,387,Priya Kulkarni,30,1,A2
661,387,Vijay Shetty,25,1,A3
662,388,Ramesh Reddy,39,2,A1
663,388,Lakshmi Rao,34,1,A2
664,388,Sunita Kulkarni,26,1,A3
665,389,Priya Rao,21,1,A1
666,390,Venkatesh Bhat,30,1,A1
667,390,Manjunath Gowda,33,2,A2
668,390,Anitha Reddy,50,1,A3
669,391,Vijay Hegde,47,1,A1
